COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,CLUSTER
1001,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),39338,1,476,1404.0,39338.0,10823.136363636364,15071.056217261126,3.634621118899328,CRITICAL GAP,19.79,01001|CARDIOVASCULAR DISEASE (CARDIOLOGY),1
1001,Alabama,ENDOCRINOLOGY,24051,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,01001|ENDOCRINOLOGY,0
1001,Alabama,HEMATOLOGY/ONCOLOGY,3538,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,01001|HEMATOLOGY/ONCOLOGY,0
1001,Alabama,NEUROLOGY,1596,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,01001|NEUROLOGY,3
1001,Alabama,PSYCHIATRY,11795,0,0,0.0,0.0,3104.5,4291.15957060345,0.0,NO PROVIDER,100.0,01001|PSYCHIATRY,0
1001,Alabama,PULMONARY DISEASE,7816,0,0,0.0,0.0,4251.578947368421,5741.879971570142,0.0,NO PROVIDER,100.0,01001|PULMONARY DISEASE,0
1001,Alabama,RHEUMATOLOGY,13020,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,01001|RHEUMATOLOGY,0
1003,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),172341,7,7925,70269.0,24620.14285714286,10823.136363636364,15071.056217261126,2.274769718310281,CRITICAL GAP,12.39,01003|CARDIOVASCULAR DISEASE (CARDIOLOGY),2
1003,Alabama,ENDOCRINOLOGY,94186,2,331,1557.0,47093.0,18070.0,22988.768286620067,2.606142778085224,CRITICAL GAP,14.19,01003|ENDOCRINOLOGY,1
1003,Alabama,HEMATOLOGY/ONCOLOGY,17835,4,1296,345727.0,4458.75,2055.6666666666665,2642.926682217817,2.169004378141722,CRITICAL GAP,11.81,01003|HEMATOLOGY/ONCOLOGY,1
1003,Alabama,NEUROLOGY,6713,4,1321,10008.0,1678.25,637.0,906.5174241117586,2.6346153846153846,CRITICAL GAP,14.34,01003|NEUROLOGY,1
1003,Alabama,PSYCHIATRY,46492,12,389,2963.0,3874.3333333333335,3104.5,4291.15957060345,1.2479733719869008,HIGH GAP,6.79,01003|PSYCHIATRY,2
1003,Alabama,PULMONARY DISEASE,32264,6,2521,7558.0,5377.333333333333,4251.578947368421,5741.879971570142,1.264785012791945,HIGH GAP,6.89,01003|PULMONARY DISEASE,1
1003,Alabama,RHEUMATOLOGY,59318,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,01003|RHEUMATOLOGY,0
1005,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),18736,0,0,0.0,0.0,10823.136363636364,15071.056217261126,0.0,NO PROVIDER,100.0,01005|CARDIOVASCULAR DISEASE (CARDIOLOGY),0
1005,Alabama,ENDOCRINOLOGY,12686,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,01005|ENDOCRINOLOGY,0
1005,Alabama,HEMATOLOGY/ONCOLOGY,1356,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,01005|HEMATOLOGY/ONCOLOGY,3
1005,Alabama,NEUROLOGY,1025,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,01005|NEUROLOGY,3
1005,Alabama,PSYCHIATRY,4391,2,61,598.0,2195.5,3104.5,4291.15957060345,0.707199226928652,MODERATE GAP,3.85,01005|PSYCHIATRY,1
1005,Alabama,PULMONARY DISEASE,4109,0,0,0.0,0.0,4251.578947368421,5741.879971570142,0.0,NO PROVIDER,100.0,01005|PULMONARY DISEASE,0
1005,Alabama,RHEUMATOLOGY,6158,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,01005|RHEUMATOLOGY,0
1007,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),16059,0,0,0.0,0.0,10823.136363636364,15071.056217261126,0.0,NO PROVIDER,100.0,01007|CARDIOVASCULAR DISEASE (CARDIOLOGY),0
1007,Alabama,ENDOCRINOLOGY,10312,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,01007|ENDOCRINOLOGY,0
1007,Alabama,HEMATOLOGY/ONCOLOGY,1332,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,01007|HEMATOLOGY/ONCOLOGY,3
1007,Alabama,NEUROLOGY,762,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,01007|NEUROLOGY,3
1007,Alabama,PSYCHIATRY,4328,2,0,0.0,2164.0,3104.5,4291.15957060345,0.6970526654855854,MODERATE GAP,3.8,01007|PSYCHIATRY,0
1007,Alabama,PULMONARY DISEASE,3495,0,0,0.0,0.0,4251.578947368421,5741.879971570142,0.0,NO PROVIDER,100.0,01007|PULMONARY DISEASE,0
1007,Alabama,RHEUMATOLOGY,5300,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,01007|RHEUMATOLOGY,0
1009,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),39046,0,0,0.0,0.0,10823.136363636364,15071.056217261126,0.0,NO PROVIDER,100.0,01009|CARDIOVASCULAR DISEASE (CARDIOLOGY),0
1009,Alabama,ENDOCRINOLOGY,22404,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,01009|ENDOCRINOLOGY,0
1009,Alabama,HEMATOLOGY/ONCOLOGY,3826,0,0,0.0,0.0,2055.6666666666665,2642.926682217817,0.0,NO PROVIDER,100.0,01009|HEMATOLOGY/ONCOLOGY,0
1009,Alabama,NEUROLOGY,1706,0,0,0.0,0.0,637.0,906.5174241117586,0.0,NO PROVIDER,100.0,01009|NEUROLOGY,3
1009,Alabama,PSYCHIATRY,11709,0,0,0.0,0.0,3104.5,4291.15957060345,0.0,NO PROVIDER,100.0,01009|PSYCHIATRY,0
1009,Alabama,PULMONARY DISEASE,8413,0,0,0.0,0.0,4251.578947368421,5741.879971570142,0.0,NO PROVIDER,100.0,01009|PULMONARY DISEASE,0
1009,Alabama,RHEUMATOLOGY,13484,0,0,0.0,0.0,10453.0,13315.598760659872,0.0,NO PROVIDER,100.0,01009|RHEUMATOLOGY,0
1011,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),8225,0,0,0.0,0.0,10823.136363636364,15071.056217261126,0.0,NO PROVIDER,100.0,01011|CARDIOVASCULAR DISEASE (CARDIOLOGY),0
1011,Alabama,ENDOCRINOLOGY,5838,0,0,0.0,0.0,18070.0,22988.768286620067,0.0,NO PROVIDER,100.0,01011|ENDOCRINOLOGY,0
