NPI,PROVIDER_NAME,PRIMARY_SPECIALTY,DISEASE,SECONDARY_SPECIALTY,TELEHEALTH,FACILITY_NAME,CITY,STATE,ZIP,COUNTY_FIPS,COUNTY,TOT_BENES,TOT_SRVCS,BENE_AVG_RISK_SCRE,TOTAL_UTILIZATION_EXACT,AVG_UTILIZATION_PERCENTILE
1023094653,JEFFREY D SEDER,Cardiology,Heart Disease,,,,SUPPLY,NC,284624094,37019,Brunswick County,327,1517.0,1.5062,,
1073886875,ANDREW  THIBODEAUX,Cardiology,Heart Disease,Internal Medicine,,ST DAVIDS HEART AND VASCULAR PLLC,HARKER HEIGHTS,TX,765481993,48027,Bell County,548,1951.0,1.2046,11.0,30.0
1881940369,VINH  NGUYEN,Cardiology,Heart Disease,,,SCOTT AND WHITE CLINIC,BELTON,TX,765138196,48027,Bell County,1521,2271.0,1.9254,,
1477530863,WAHEED  AKHTAR,Cardiology,Heart Disease,,,NORTH CAROLINA MG LLC,GOLDSBORO,NC,275349424,37191,Wayne County,1518,9946.0,1.8189,0.0,
1639177991,PEDRO  DIAZ SANTANA,Cardiology,Heart Disease,INTERVENTIONAL PAIN MANAGEMENT,,,LAREDO,TX,780456363,48479,Webb County,204,860.0,1.6737,15.0,39.0
1891899084,CARLOS G CIGARROA,Cardiology,Heart Disease,Internal Medicine,,,LAREDO,TX,780413999,48479,Webb County,1449,7395.0,2.3675,48.0,61.0
1639146897,JOHN VARKEY PUTHENVEETIL,Cardiology,Heart Disease,Internal Medicine,Y,UNC PHYSICIANS NETWORK LLC,ROCKY MOUNT,NC,278041470,37127,Nash County,197,1712.0,1.2155,,
1467428599,ANDREW J LUISI,Cardiology,Heart Disease,,,"ETMC PHYSICIAN GROUP, INC.",GUN BARREL CITY,TX,751563703,48213,Henderson County,1220,3576.0,1.3527,,
1598032781,JAINY  SAVLA,Cardiology,Heart Disease,Internal Medicine,,TEXAS HEALTH PHYSICIANS GROUP,WILLOW PARK,TX,760871197,48367,Parker County,439,1387.0,1.8132,,
1659368199,SAHIL  BAKSHI,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,WEATHERFORD,TX,760864783,48367,Parker County,2349,11676.0,1.4971,,
1518972355,ANDREW  KRONENBERG,Cardiology,Heart Disease,Internal Medicine,Y,NORTH CAROLINA MG LLC,LOUISBURG,NC,275492678,37069,Franklin County,1287,4017.0,1.4229,,
1437112836,BRIAN PAUL HEARON,Cardiology,Heart Disease,,,DLP RUTHERFORD PHYSICIAN PRACTICES LLC,RUTHERFORDTON,NC,281393165,37161,Rutherford County,324,623.0,1.816,0.0,
1144245549,DAVID F DAVIS,Cardiology,Heart Disease,Internal Medicine,Y,"NORTH TEXAS COMPREHENSIVE CARDIOLOGY, PLLC",SHERMAN,TX,750900504,48181,Grayson County,813,4101.0,1.321,,
1891782512,WAEL S ABO-AUDA,Cardiology,Heart Disease,,,,SHERMAN,TX,750927389,48181,Grayson County,1935,18712.0,1.7668,0.0,
1528178902,TERRY L GERBER,Cardiology,Heart Disease,Internal Medicine,,,MARSHALL,TX,756704130,48203,Harrison County,83,348.0,1.3765,,
1043296502,LIANXI F LIAO,Cardiology,Heart Disease,,Y,"FORT WORTH HEART, P.A.",GRANBURY,TX,760485639,48221,Hood County,968,3947.0,1.7335,,
1265406037,ROBERT J KASTNER,Cardiology,Heart Disease,,,NORTH CAROLINA MG LLC,CLINTON,NC,283282691,37163,Sampson County,419,910.0,1.7017,,
1659352847,JOHN C MULLIGAN,Cardiology,Heart Disease,Internal Medicine,,SPECTRUM HEALTH PRIMARY CARE PARTNERS,HASTINGS,MI,490581712,26015,Barry County,190,265.0,1.6934,,
1396720678,DALANE WILLIAM KITZMAN,Cardiology,Heart Disease,,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,LEXINGTON,NC,272926792,37057,Davidson County,274,378.0,2.1964,,
1013449941,GARRETT MICHAEL SNIPES,Cardiology,Heart Disease,Internal Medicine,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,LEXINGTON,NC,272926768,37057,Davidson County,,,,,
1720548977,MAHDI S AGHA,Cardiology,Heart Disease,Internal Medicine,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,LEXINGTON,NC,272926792,37057,Davidson County,,,,,
1073743118,JOSE RICARDO F PO,Cardiology,Heart Disease,Internal Medicine,,ASCENSION MEDICAL GROUP PROMED,THREE RIVERS,MI,490938319,26149,St. Joseph County,1049,1793.0,1.476,,
1225038060,DONNA P DENIER,Cardiology,Heart Disease,,,WATAUGA MEDICAL CENTER INC,BOONE,NC,286075008,37189,Watauga County,884,2252.0,1.308,,
1477666501,CHRISTOPHER G STEPHENSON,Cardiology,Heart Disease,,Y,,WAXHAW,NC,281735024,37179,Union County,123,1151.0,0.9302,,
1467464305,JUSTIN F HAYNIE,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,,CAROLINAS PHYSICIANS NETWORK INC,MATTHEWS,NC,281044951,37179,Union County,1368,3347.0,1.2788,,
1023240132,RAJIV  PAUDEL,Cardiology,Heart Disease,,,CAROLINAS PHYSICIANS NETWORK INC,MONROE,NC,281125197,37179,Union County,1247,7493.0,1.7038,,
1659553923,PUNIT KUMAR SARNA,Cardiology,Heart Disease,Internal Medicine,Y,CAROLINAS PHYSICIANS NETWORK INC,MONROE,NC,281125197,37179,Union County,1253,2404.0,1.7579,,
1275636532,ERON D CROUCH,Cardiology,Heart Disease,,Y,REGIONAL EMPLOYEE ASSISTANCE PROGRAM INC,CORSICANA,TX,751102489,48349,Navarro County,754,1933.0,1.6753,,
1336128909,TULIKA  JAIN,Cardiology,Heart Disease,,Y,TEXAS HEALTH PHYSICIANS GROUP,ROCKWALL,TX,750326610,48397,Rockwall County,1308,7070.0,1.2573,,
1588806749,MATTHEW E DICKSON,Cardiology,Heart Disease,Internal Medicine,Y,TEXAS HEALTH PHYSICIANS GROUP,ROCKWALL,TX,750327802,48397,Rockwall County,2858,7567.0,1.7308,,
1841240215,ROGER J BELBEL,Cardiology,Heart Disease,"INTERNAL MEDICINE, INTERVENTIONAL CARDIOLOGY",,CARDIOLOGY SPECIALISTS OF NORTH TEXAS PLLC,GREENVILLE,TX,754017852,48231,Hunt County,837,2916.0,1.6707,39.0,61.0
1144757113,JESSICA  MEYER,Cardiology,Heart Disease,,,HEALTHTEXAS PROVIDER NETWORK,GREENVILLE,TX,754017858,48231,Hunt County,699,5170.0,1.575,,
1699116814,JIMMARCK PEREL CASTISIMO CUENTA,Cardiology,Heart Disease,Internal Medicine,,CAROLINAS PHYSICIANS NETWORK INC,SHELBY,NC,281503824,37045,Cleveland County,1739,7606.0,1.7388,,
1992022206,BRIAN  HEEKE,Cardiology,Heart Disease,Internal Medicine,,CAROLINAS PHYSICIANS NETWORK INC,SHELBY,NC,281503824,37045,Cleveland County,1549,7306.0,1.6901,,
1124009063,DEVRAJ U NAYAK,Cardiology,Heart Disease,,Y,WILSON COUNTY MEMORIAL HOSPITAL DISTRICT,FLORESVILLE,TX,781143175,48493,Wilson County,649,2228.0,1.3148,,
1609035757,JONATHAN F BRANCH,Cardiology,Heart Disease,Internal Medicine,,THE MOSES H CONE MEMORIAL HOSPITAL OPERATING CORPORATION,REIDSVILLE,NC,273205020,37157,Rockingham County,733,1466.0,1.7361,,
1457315335,SAMUEL G MCDOWELL,Cardiology,Heart Disease,Internal Medicine,,THE MOSES H CONE MEMORIAL HOSPITAL OPERATING CORPORATION,REIDSVILLE,NC,273205020,37157,Rockingham County,524,1273.0,1.7404,,
1104825785,CHUN WANG Y TAN,Cardiology,Heart Disease,,,"BHS PHYSICIANS NETWORK, INC",JOURDANTON,TX,780261536,48013,Atascosa County,770,3811.0,1.742,25.0,75.0
1932185923,VICTOR INNOCENT OWUSU,Cardiology,Heart Disease,,,HILLSDALE COMMUNITY HEALTH CENTER,HILLSDALE,MI,492422040,26059,Hillsdale County,539,2020.0,1.6708,,
1467561902,NITIN  MAHAJAN,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,Y,LIBERTY COUNTY HOSPITAL DISTRICT NO.1,LIBERTY,TX,775753549,48291,Liberty County,263,1706.0,2.1306,119.0,58.5
1235131319,NABIL M AHMAD,Cardiology,Heart Disease,Internal Medicine,,,CLEVELAND,TX,773273732,48291,Liberty County,216,1651.0,1.5638,87.0,72.5
1013008283,KALIFE  KURI,Cardiology,Heart Disease,,,"BHS PHYSICIANS NETWORK, INC",BOERNE,TX,780062750,48259,Kendall County,1366,4824.0,1.4043,0.0,
1265418404,MOHAMMED M KHAN,Cardiology,Heart Disease,,,BAYLOR ST. LUKE'S MEDICAL GROUP,LUFKIN,TX,759043133,48005,Angelina County,663,4723.0,1.442,21.0,51.0
1568579233,VIVEK  MANGLA,Cardiology,Heart Disease,CARDIAC ELECTROPHYSIOLOGY,,,LUFKIN,TX,759043187,48005,Angelina County,1253,23174.0,1.4663,223.0,80.67
1033147517,SHEHZAD  SAMI,Cardiology,Heart Disease,Internal Medicine,,,MONT BELVIEU,TX,775239847,48071,Chambers County,475,9341.0,1.4013,,
1134241474,JOSEPH  YEBOAH,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,Y,WAKE FOREST UNIVERSITY HEALTH SCIENCES,BERMUDA RUN,NC,27006,37059,Davie County,1782,2929.0,2.0819,,
1427258532,GEOFFREY D BARNES,Cardiology,Heart Disease,Internal Medicine,Y,REGENTS OF THE UNIVERSITY OF MICHIGAN,BRIGHTON,MI,481169416,26093,Livingston County,600,738.0,1.8544,,
1710009006,PATRICK B ALEXANDER,Cardiology,Heart Disease,"CARDIAC SURGERY, INTERNAL MEDICINE",,HENRY FORD HEALTH PROVIDENCE HOSPITAL,HOWELL,MI,488437576,26093,Livingston County,905,2124.0,1.6623,34.0,54.5
1598748063,JAMAL X ZARGHAMI,Cardiology,Heart Disease,,,HENRY FORD HEALTH PROVIDENCE HOSPITAL,HOWELL,MI,488437576,26093,Livingston County,658,1687.0,1.7733,,
1912978800,DAVID B MCCAIN,Cardiology,Heart Disease,Internal Medicine,,"PRIVIA MEDICAL GROUP WEST TEXAS, PLLC",ABILENE,TX,796065249,48441,Taylor County,571,2670.0,1.3412,14.0,37.0
1225011711,SOUHEIL E SABA,Cardiology,Heart Disease,NUCLEAR MEDICINE,,HENRY FORD HEALTH PROVIDENCE HOSPITAL,HOWELL,MI,488437576,26093,Livingston County,1229,3565.0,1.7681,,
1023373545,FARLEY BERRY GRADEN NEASMAN,Cardiology,Heart Disease,Internal Medicine,,HENDRICK PROVIDER NETWORK,ABILENE,TX,796065247,48441,Taylor County,1084,3507.0,1.3867,11.0,30.0
1316164783,ROBERT S LEVERTON,Cardiology,Heart Disease,Internal Medicine,,,ABILENE,TX,796065258,48441,Taylor County,1271,3818.0,1.1415,59.0,72.0
1568438430,ANDREW J DOOREY,Cardiology,Heart Disease,,,UNC PHYSICIANS NETWORK LLC,ROXBORO,NC,275734508,37145,Person County,27,36.0,1.5278,,
1811931512,IMAD  ALWAN,Cardiology,Heart Disease,"CARDIAC ELECTROPHYSIOLOGY, INTERNAL MEDICINE",,VAL VERDE HOSPITAL CORPORATION,DEL RIO,TX,788404112,48465,Val Verde County,427,909.0,1.6227,,
1093715039,ROBERT B FAZIA,Cardiology,Heart Disease,,Y,"NOVANT HEALTH MEDICAL GROUP, LLC",WINSTON SALEM,NC,271034146,37067,Forsyth County,595,1659.0,1.6777,,
1306838719,THOMAS L KHOURY,Cardiology,Heart Disease,,,FORSYTH MEMORIAL HOSPITAL INC,WINSTON SALEM,NC,271065476,37067,Forsyth County,580,2081.0,2.0418,,
1447543632,UN JU  KIM,Cardiology,Heart Disease,Internal Medicine,,FORSYTH MEMORIAL HOSPITAL INC,WINSTON SALEM,NC,271036946,37067,Forsyth County,555,1842.0,1.3469,,
1962469049,MILTON DEAN HARRIS,Cardiology,Heart Disease,Internal Medicine,,FORSYTH MEMORIAL HOSPITAL INC,WINSTON SALEM,NC,271036946,37067,Forsyth County,64,135.0,1.4351,,
1053991554,QIUYU  ZHU,Cardiology,Heart Disease,,,"NOVANT HEALTH MEDICAL GROUP, LLC",WINSTON SALEM,NC,271033013,37067,Forsyth County,29,40.0,3.8683,,
1619297595,HARDIK JASWANTIAL MEHTA,Cardiology,Heart Disease,Internal Medicine,Y,"NOVANT HEALTH MEDICAL GROUP, LLC",WINSTON SALEM,NC,271033019,37067,Forsyth County,1145,3037.0,1.5383,,
1639431307,BRADLEY WALTON CLARK,Cardiology,Heart Disease,Internal Medicine,,"NOVANT HEALTH MEDICAL GROUP, LLC",WINSTON SALEM,NC,271033019,37067,Forsyth County,1116,2756.0,1.8145,,
1285889832,SUJETHRA  VASU,Cardiology,Heart Disease,,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,RURAL HALL,NC,270459552,37067,Forsyth County,1295,1904.0,1.9838,,
1437134632,FREDERIC ROSS KAHL,Cardiology,Heart Disease,,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,RURAL HALL,NC,270459552,37067,Forsyth County,3111,4608.0,2.0182,,
1982681946,JEREMY G ENSLEIN,Cardiology,Heart Disease,Internal Medicine,Y,"RIO GRANDE VALLEY CARDIOLOGY, PLLC",MCALLEN,TX,785031346,48215,Hidalgo County,918,2207.0,2.0625,0.0,
1316394935,FRANCIS  DIMTRI,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785031728,48215,Hidalgo County,892,2064.0,1.9452,0.0,
1376511873,VICTOR JULIO CASTRO,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,,HEART CLINIC PLLC,MCALLEN,TX,785031507,48215,Hidalgo County,334,802.0,2.5963,0.0,
1225072663,S M GOLAM K ALAM,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,EDINBURG,TX,785395520,48215,Hidalgo County,296,748.0,2.5333,0.0,
1386690360,HECTOR L SOTO,Cardiology,Heart Disease,,,RENAISSANCE CARDIOLOGY GROUP,EDINBURG,TX,785395520,48215,Hidalgo County,517,1376.0,1.8875,0.0,
1508057787,CHRISTIAN  ASSAD KOTTNER,Cardiology,Heart Disease,,,"RIO GRANDE VALLEY CARDIOLOGY, PLLC",MCALLEN,TX,785031346,48215,Hidalgo County,488,1072.0,2.5687,33.0,68.0
1346534542,AUGUSTINE  GEORGE,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,,RGV CARDIOVASCULAR SOLUTIONS PLLC,EDINBURG,TX,785399140,48215,Hidalgo County,248,723.0,2.2538,0.0,
1417928326,SUBBARAO  YARRA,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785031728,48215,Hidalgo County,404,1755.0,2.8388,77.0,61.67
1689679920,OFSMAN E QUINTANA,Cardiology,Heart Disease,Internal Medicine,,HEART CLINIC PLLC,EDINBURG,TX,785399105,48215,Hidalgo County,203,869.0,3.0166,59.0,93.0
1306869888,CARLOS D MEGO,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785031728,48215,Hidalgo County,378,1532.0,2.405,,
1942301619,YAMIL W AUDE,Cardiology,Heart Disease,"INTERNAL MEDICINE, INTERVENTIONAL CARDIOLOGY",,RENAISSANCE CARDIOLOGY GROUP,EDINBURG,TX,785395503,48215,Hidalgo County,373,1600.0,2.2425,0.0,
1639392665,HECTOR  URRUTIA,Cardiology,Heart Disease,Internal Medicine,,"RIO GRANDE VALLEY CARDIOLOGY, PLLC",MCALLEN,TX,785031346,48215,Hidalgo County,187,755.0,1.6613,0.0,
1164490074,PAULRAJAN R MANOHARAN,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785031728,48215,Hidalgo County,178,590.0,2.4452,,
1861499808,MAHESH G CHANGLANI,Cardiology,Heart Disease,Internal Medicine,Y,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785042208,48215,Hidalgo County,317,1532.0,2.1803,,
1720047806,TAWHID A SHUAIB,Cardiology,Heart Disease,,,RENAISSANCE CARDIOLOGY GROUP,EDINBURG,TX,785394660,48215,Hidalgo County,160,867.0,2.3523,,
1124096706,HERSCHL B SILBERMAN,Cardiology,Heart Disease,Internal Medicine,,RENAISSANCE CARDIOLOGY GROUP,MCALLEN,TX,785031728,48215,Hidalgo County,273,1441.0,2.1848,0.0,
1730165481,HARISH KUMAR KOOLWAL,Cardiology,Heart Disease,,,,PHARR,TX,785775346,48215,Hidalgo County,124,870.0,1.9101,0.0,
1871532531,NORMAN M RAMIREZ,Cardiology,Heart Disease,Internal Medicine,,"RIO GRANDE VALLEY CARDIOLOGY, PLLC",MCALLEN,TX,785031346,48215,Hidalgo County,70,335.0,2.0299,0.0,
1588930671,ALBERTO  MENDOZA PAREDES,Cardiology,Heart Disease,,,CHILDREN'S PHYSICIAN SERVICES OF SOUTH TEXAS,MCALLEN,TX,785035490,48215,Hidalgo County,,,,,
1134330178,MARGARET  SULLIVAN,Cardiology,Heart Disease,,,TEXAS SPECIALTY PHYSICIANS,ENNIS,TX,751195644,48139,Ellis County,405,1373.0,1.4125,,
1811265085,ROBERT EVERETTE FICULA,Cardiology,Heart Disease,Internal Medicine,Y,HEARTPLACE PLLC,RED OAK,TX,751543896,48139,Ellis County,323,2808.0,1.3844,0.0,
1144649617,BRIAN R. SHIPLEY,Cardiology,Heart Disease,,,HEALTHTEXAS PROVIDER NETWORK,MIDLOTHIAN,TX,760655591,48139,Ellis County,162,354.0,1.583,,
1922123728,FEDERICO  MAESE,Cardiology,Heart Disease,Internal Medicine,,FEDERICO MAESE MD. PA,ENNIS,TX,751195106,48139,Ellis County,85,2404.0,1.1627,,
1316107246,HAOJIE  WANG,Cardiology,Heart Disease,,,HEALTHTEXAS PROVIDER NETWORK,WAXAHACHIE,TX,751655240,48139,Ellis County,1013,2668.0,1.8823,,
1932139953,MICHAEL  BLANC,Cardiology,Heart Disease,Internal Medicine,,HENDRICK PROVIDER NETWORK,BROWNWOOD,TX,768015952,48049,Brown County,2229,6964.0,1.2968,123.0,77.0
1679644371,BETSY A GEORGE,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,TERRELL,TX,751602732,48257,Kaufman County,702,3335.0,1.6797,,
1346323839,YERALDINE  TOLEDO,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,TERRELL,TX,751602732,48257,Kaufman County,500,3342.0,1.7003,,
1376842120,SHARON  CHOI,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,TERRELL,TX,751602732,48257,Kaufman County,1010,4166.0,1.8368,,
1497175707,MUBASHAR H KHAN,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,TERRELL,TX,751602732,48257,Kaufman County,2463,19503.0,1.4499,,
1700222486,DANIEL R GILADA,Cardiology,Heart Disease,,Y,HEALTHTEXAS PROVIDER NETWORK,FLOWER MOUND,TX,750281752,48121,Denton County,999,3395.0,1.3617,,
1154327203,DANIEL W CALDWELL,Cardiology,Heart Disease,Internal Medicine,,,DENTON,TX,762106817,48121,Denton County,773,2996.0,1.165,,
1043606502,NICHOLAS STEPHEN HENDREN,Cardiology,Heart Disease,,Y,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,FRISCO,TX,750334231,48121,Denton County,746,1342.0,2.4365,,
1467417279,LAURA J COLLINS,Cardiology,Heart Disease,Internal Medicine,,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,FRISCO,TX,750334231,48121,Denton County,375,495.0,2.6021,,
1982803458,ARUN  PADALA,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,Y,TEXAS HEALTH PHYSICIANS GROUP,FRISCO,TX,750334235,48121,Denton County,662,1932.0,1.8823,,
1871531434,PRASAD V PATURU,Cardiology,Heart Disease,Internal Medicine,,,CARROLLTON,TX,750104637,48121,Denton County,613,1454.0,1.746,,
1114142403,SIVA PRASAD SONTINENI,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,Y,,DENTON,TX,762100175,48121,Denton County,547,2327.0,1.9106,56.0,86.0
1407389729,ERMIAS A SORI,Cardiology,Heart Disease,Internal Medicine,Y,HEALTHTEXAS PROVIDER NETWORK,DENTON,TX,762100102,48121,Denton County,538,2040.0,1.2252,,
1922591114,SPENCER VAUGHN CARTER,Cardiology,Heart Disease,Internal Medicine,Y,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,FRISCO,TX,750334234,48121,Denton County,257,573.0,1.7247,,
1174604789,HEMA  KORLAKUNTA,Cardiology,Heart Disease,Internal Medicine,,,DENTON,TX,762086175,48121,Denton County,460,1838.0,1.5144,0.0,
1912142985,SAINATH  GADDAM,Cardiology,Heart Disease,Internal Medicine,Y,PIONEER MEDICAL ASSOCIATES PLLC,FRISCO,TX,750360810,48121,Denton County,429,2085.0,1.6598,11.0,30.0
1356308050,RAO H NASEEM,Cardiology,Heart Disease,,,NORTH TEXAS ARRHYTHMIA ASSOCIATES PA,DENTON,TX,762012302,48121,Denton County,197,837.0,1.7649,12.0,63.0
1467407197,WILLIAM T GRAY,Cardiology,Heart Disease,"INTERNAL MEDICINE, NUCLEAR MEDICINE",Y,HEALTHTEXAS PROVIDER NETWORK,DENTON,TX,762100102,48121,Denton County,334,1411.0,1.2361,34.0,69.0
1487867172,TAIMOOR  HASHIM,Cardiology,Heart Disease,INTERVENTIONAL CARDIOLOGY,,CARDIOLOGY SPECIALISTS OF NORTH TEXAS PLLC,LEWISVILLE,TX,750573639,48121,Denton County,312,1010.0,2.2572,22.0,53.0
1215972419,VIDYASAGAR  CHODIMELLA,Cardiology,Heart Disease,,,,CARROLLTON,TX,750104637,48121,Denton County,297,1795.0,1.4079,,
