NPI,SERVICE_AREA_STATE,ISSUERID,SERVICEAREAID,SERVICE_AREA_ZIP
1033560057,MI,58594,MIS001,48653
1093377210,MI,29698,MIS007,49201
1104849025,MI,29698,MIS007,49201
1568031250,MI,29698,MIS007,49201
1588234058,MI,29698,MIS007,49201
1700531837,MI,29698,MIS007,49201
1881190593,MI,29698,MIS007,49201
1417284688,MI,29698,MIS007,49201
1134539265,MI,58594,MIS001,48471
1558492850,MI,58594,MIS001,48471
1568463800,MI,58594,MIS001,48471
1891760286,MI,58594,MIS001,48471
1083034771,TX,66252,TXS002,78666
1083126668,TX,66252,TXS002,78666
1083675086,TX,66252,TXS002,78666
1134348535,TX,66252,TXS002,78666
1144278326,TX,66252,TXS002,78666
1144450131,TX,66252,TXS002,78666
1154383669,TX,66252,TXS002,78666
1154646560,TX,66252,TXS002,78666
1184116063,TX,66252,TXS002,78666
1194953117,TX,66252,TXS002,78666
1215536537,TX,66252,TXS002,78666
1245316884,TX,66252,TXS002,78666
1245423326,TX,66252,TXS002,78666
1295767465,TX,66252,TXS002,78666
1326794553,TX,66252,TXS002,78666
1366548547,TX,66252,TXS002,78666
1366848541,TX,66252,TXS002,78666
1376047217,TX,66252,TXS002,78666
1437579455,TX,66252,TXS002,78666
1457765547,TX,66252,TXS002,78666
1477133106,TX,66252,TXS002,78666
1508939141,TX,66252,TXS002,78666
1548713258,TX,66252,TXS002,78666
1578106753,TX,66252,TXS002,78666
1578524955,TX,66252,TXS002,78666
1609563980,TX,66252,TXS002,78666
1629428826,TX,66252,TXS002,78666
1669091096,TX,66252,TXS002,78666
1679223903,TX,66252,TXS002,78666
1679833354,TX,66252,TXS002,78666
1689993297,TX,66252,TXS002,78666
1710543939,TX,66252,TXS002,78666
1770579187,TX,66252,TXS002,78666
1770970451,TX,66252,TXS002,78666
1790109866,TX,66252,TXS002,78666
1790211209,TX,66252,TXS002,78666
1801471214,TX,66252,TXS002,78666
1821300278,TX,66252,TXS002,78666
1821404039,TX,66252,TXS002,78666
1841220092,TX,66252,TXS002,78666
1881973147,TX,66252,TXS002,78666
1891172938,TX,66252,TXS002,78666
1922468370,TX,66252,TXS002,78666
1922645225,TX,66252,TXS002,78666
1356952212,TX,66252,TXS002,78666
1568749224,TX,66252,TXS002,78666
1801016480,TX,66252,TXS002,78666
1932659257,TX,66252,TXS002,78666
1033266911,TX,66252,TXS002,78666
1275500100,TX,66252,TXS002,78666
1366706921,TX,66252,TXS002,78666
1598944571,TX,66252,TXS002,78666
1881702900,TX,66252,TXS002,78666
1336671924,TX,66252,TXS002,78666
1568680080,TX,66252,TXS002,78666
1851351704,TX,66252,TXS002,78666
1861723108,TX,66252,TXS002,78666
1023853728,TX,66252,TXS002,78666
1063119121,TX,66252,TXS002,78666
1114379849,TX,66252,TXS002,78666
1134803349,TX,66252,TXS002,78666
1154991255,TX,66252,TXS002,78666
1164579595,TX,66252,TXS002,78666
1174207112,TX,66252,TXS002,78666
1205194537,TX,66252,TXS002,78666
1295374601,TX,66252,TXS002,78666
1407422520,TX,66252,TXS002,78666
1417278086,TX,66252,TXS002,78666
1457856676,TX,66252,TXS002,78666
1457974909,TX,66252,TXS002,78666
1467487702,TX,66252,TXS002,78666
1477119287,TX,66252,TXS002,78666
1528016557,TX,66252,TXS002,78666
1528112646,TX,66252,TXS002,78666
1548551427,TX,66252,TXS002,78666
1558869875,TX,66252,TXS002,78666
1568694834,TX,66252,TXS002,78666
1619609468,TX,66252,TXS002,78666
1669457388,TX,66252,TXS002,78666
1689660805,TX,66252,TXS002,78666
1699271833,TX,66252,TXS002,78666
1730370578,TX,66252,TXS002,78666
1770222317,TX,66252,TXS002,78666
1790169662,TX,66252,TXS002,78666
1861477952,TX,66252,TXS002,78666
1902281660,TX,66252,TXS002,78666
1962871624,TX,66252,TXS002,78666
1245861160,TX,66252,TXS002,78666
1720074719,TX,66252,TXS002,78666
1083034771,TX,66252,TXS001,78666
1083126668,TX,66252,TXS001,78666
1083675086,TX,66252,TXS001,78666
1134348535,TX,66252,TXS001,78666
1144278326,TX,66252,TXS001,78666
1144450131,TX,66252,TXS001,78666
1154383669,TX,66252,TXS001,78666
1154646560,TX,66252,TXS001,78666
1184116063,TX,66252,TXS001,78666
1194953117,TX,66252,TXS001,78666
1215536537,TX,66252,TXS001,78666
1245316884,TX,66252,TXS001,78666
1245423326,TX,66252,TXS001,78666
1295767465,TX,66252,TXS001,78666
1326794553,TX,66252,TXS001,78666
1366548547,TX,66252,TXS001,78666
1366848541,TX,66252,TXS001,78666
1376047217,TX,66252,TXS001,78666
1437579455,TX,66252,TXS001,78666
1457765547,TX,66252,TXS001,78666
1477133106,TX,66252,TXS001,78666
1508939141,TX,66252,TXS001,78666
1548713258,TX,66252,TXS001,78666
1578106753,TX,66252,TXS001,78666
1578524955,TX,66252,TXS001,78666
1609563980,TX,66252,TXS001,78666
1629428826,TX,66252,TXS001,78666
1669091096,TX,66252,TXS001,78666
1679223903,TX,66252,TXS001,78666
1679833354,TX,66252,TXS001,78666
1689993297,TX,66252,TXS001,78666
1710543939,TX,66252,TXS001,78666
1770579187,TX,66252,TXS001,78666
1770970451,TX,66252,TXS001,78666
1790109866,TX,66252,TXS001,78666
1790211209,TX,66252,TXS001,78666
1801471214,TX,66252,TXS001,78666
1821300278,TX,66252,TXS001,78666
1821404039,TX,66252,TXS001,78666
1841220092,TX,66252,TXS001,78666
1881973147,TX,66252,TXS001,78666
1891172938,TX,66252,TXS001,78666
1922468370,TX,66252,TXS001,78666
1922645225,TX,66252,TXS001,78666
1356952212,TX,66252,TXS001,78666
1568749224,TX,66252,TXS001,78666
1801016480,TX,66252,TXS001,78666
1932659257,TX,66252,TXS001,78666
1033266911,TX,66252,TXS001,78666
1275500100,TX,66252,TXS001,78666
1366706921,TX,66252,TXS001,78666
1598944571,TX,66252,TXS001,78666
1881702900,TX,66252,TXS001,78666
1336671924,TX,66252,TXS001,78666
1568680080,TX,66252,TXS001,78666
1851351704,TX,66252,TXS001,78666
1861723108,TX,66252,TXS001,78666
1023853728,TX,66252,TXS001,78666
1063119121,TX,66252,TXS001,78666
1114379849,TX,66252,TXS001,78666
1134803349,TX,66252,TXS001,78666
1154991255,TX,66252,TXS001,78666
1164579595,TX,66252,TXS001,78666
1174207112,TX,66252,TXS001,78666
1205194537,TX,66252,TXS001,78666
1295374601,TX,66252,TXS001,78666
1407422520,TX,66252,TXS001,78666
1417278086,TX,66252,TXS001,78666
1457856676,TX,66252,TXS001,78666
1457974909,TX,66252,TXS001,78666
1467487702,TX,66252,TXS001,78666
1477119287,TX,66252,TXS001,78666
1528016557,TX,66252,TXS001,78666
1528112646,TX,66252,TXS001,78666
1548551427,TX,66252,TXS001,78666
1558869875,TX,66252,TXS001,78666
1568694834,TX,66252,TXS001,78666
1619609468,TX,66252,TXS001,78666
1669457388,TX,66252,TXS001,78666
1689660805,TX,66252,TXS001,78666
1699271833,TX,66252,TXS001,78666
1730370578,TX,66252,TXS001,78666
1770222317,TX,66252,TXS001,78666
1790169662,TX,66252,TXS001,78666
1861477952,TX,66252,TXS001,78666
1902281660,TX,66252,TXS001,78666
1962871624,TX,66252,TXS001,78666
1245861160,TX,66252,TXS001,78666
1720074719,TX,66252,TXS001,78666
1003445263,MI,58594,MIS001,49444
1013438886,MI,58594,MIS001,49444
1013989177,MI,58594,MIS001,49444
1023000189,MI,58594,MIS001,49444
1023129517,MI,58594,MIS001,49444
1023374048,MI,58594,MIS001,49444
1033200720,MI,58594,MIS001,49444
1033544796,MI,58594,MIS001,49444
1043474919,MI,58594,MIS001,49444
1053793471,MI,58594,MIS001,49444
1053947176,MI,58594,MIS001,49444
1073549044,MI,58594,MIS001,49444
1073550034,MI,58594,MIS001,49444
1083156723,MI,58594,MIS001,49444
1093200081,MI,58594,MIS001,49444
1093226920,MI,58594,MIS001,49444
1093412215,MI,58594,MIS001,49444
1093755167,MI,58594,MIS001,49444
1104459718,MI,58594,MIS001,49444
1114361649,MI,58594,MIS001,49444
1114436391,MI,58594,MIS001,49444
1124012521,MI,58594,MIS001,49444
1124686365,MI,58594,MIS001,49444
1154391589,MI,58594,MIS001,49444
1154816882,MI,58594,MIS001,49444
1164862033,MI,58594,MIS001,49444
1174087084,MI,58594,MIS001,49444
1174741409,MI,58594,MIS001,49444
1174758262,MI,58594,MIS001,49444
1184601841,MI,58594,MIS001,49444
1194044636,MI,58594,MIS001,49444
1194163279,MI,58594,MIS001,49444
1194298794,MI,58594,MIS001,49444
1194354787,MI,58594,MIS001,49444
1194788943,MI,58594,MIS001,49444
1205155710,MI,58594,MIS001,49444
1205175593,MI,58594,MIS001,49444
1215220330,MI,58594,MIS001,49444
1215257134,MI,58594,MIS001,49444
1225310774,MI,58594,MIS001,49444
1225474174,MI,58594,MIS001,49444
1235220914,MI,58594,MIS001,49444
1235385964,MI,58594,MIS001,49444
