COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,DISEASE,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
26001,MI,Psychiatry,Mental Health Disorders,1,0,0.0
26005,MI,Endocrinology,Diabetes,1,169,382.0
26005,MI,Internal Medicine,General Medicine Conditions,15,1598,6853.0
26005,MI,Neurology,Neurological Disorders,1,180,375.0
26005,MI,Psychiatry,Mental Health Disorders,11,455,1718.0
26005,MI,Pulmonary,Respiratory Disease,1,252,526.0
26005,MI,Rheumatology,Arthritis,2,250,528.0
26007,MI,Cardiology,Heart Disease,5,9131,23145.0
26007,MI,Oncology,Cancer,1,628,3273.0
26007,MI,Internal Medicine,General Medicine Conditions,9,1720,3865.0
26007,MI,Neurology,Neurological Disorders,2,0,0.0
26007,MI,Psychiatry,Mental Health Disorders,5,586,5299.0
26007,MI,Pulmonary,Respiratory Disease,2,1661,5017.0
26009,MI,Neurology,Neurological Disorders,1,263,483.0
26009,MI,Psychiatry,Mental Health Disorders,1,0,0.0
26011,MI,Internal Medicine,General Medicine Conditions,5,977,2739.0
26011,MI,Psychiatry,Mental Health Disorders,3,98,511.0
26013,MI,Cardiology,Heart Disease,1,11,25.0
26015,MI,Cardiology,Heart Disease,1,190,265.0
26015,MI,Internal Medicine,General Medicine Conditions,2,516,31233.0
26015,MI,Psychiatry,Mental Health Disorders,1,17,64.0
26017,MI,Cardiology,Heart Disease,8,5439,20881.0
26017,MI,Oncology,Cancer,3,408,914.0
26017,MI,Internal Medicine,General Medicine Conditions,27,9633,48014.0
26017,MI,Neurology,Neurological Disorders,3,695,12447.0
26017,MI,Psychiatry,Mental Health Disorders,10,1171,8160.0
26017,MI,Pulmonary,Respiratory Disease,3,1034,2925.0
26017,MI,Rheumatology,Arthritis,1,124,11248.0
26019,MI,Internal Medicine,General Medicine Conditions,1,0,0.0
26019,MI,Psychiatry,Mental Health Disorders,1,52,150.0
26021,MI,Cardiology,Heart Disease,8,3678,10146.0
26021,MI,Endocrinology,Diabetes,4,696,2193.0
26021,MI,Oncology,Cancer,4,1507,3874.0
26021,MI,Internal Medicine,General Medicine Conditions,46,8957,37183.0
26021,MI,Neurology,Neurological Disorders,8,1533,3322.0
26021,MI,Psychiatry,Mental Health Disorders,10,437,2109.0
26021,MI,Pulmonary,Respiratory Disease,8,1263,3301.0
26021,MI,Rheumatology,Arthritis,3,816,3645.0
26023,MI,Internal Medicine,General Medicine Conditions,6,2466,16707.0
26023,MI,Psychiatry,Mental Health Disorders,5,101,409.0
26023,MI,Rheumatology,Arthritis,1,80,3023.0
26025,MI,Cardiology,Heart Disease,7,6808,12245.0
26025,MI,Endocrinology,Diabetes,1,87,148.0
26025,MI,Oncology,Cancer,3,818,54983.0
26025,MI,Internal Medicine,General Medicine Conditions,49,11850,33338.0
26025,MI,Neurology,Neurological Disorders,6,925,1874.0
