NPI,SERVICE_AREA_STATE,ISSUERID,SERVICEAREAID,SERVICE_AREA_ZIP
1033560057,MI,58594,MIS001,48653
1013281120,OR,71287,ORS004,97321
1023500568,OR,71287,ORS004,97321
1023639291,OR,71287,ORS004,97321
1023856044,OR,71287,ORS004,97321
1033730817,OR,71287,ORS004,97321
1063151306,OR,71287,ORS004,97321
1063199479,OR,71287,ORS004,97321
1073552394,OR,71287,ORS004,97321
1093734584,OR,71287,ORS004,97321
1093762247,OR,71287,ORS004,97321
1134198005,OR,71287,ORS004,97321
1134234800,OR,71287,ORS004,97321
1134358435,OR,71287,ORS004,97321
1134568959,OR,71287,ORS004,97321
1144302639,OR,71287,ORS004,97321
1144312943,OR,71287,ORS004,97321
1154488021,OR,71287,ORS004,97321
1164424586,OR,71287,ORS004,97321
1194044701,OR,71287,ORS004,97321
1215147475,OR,71287,ORS004,97321
1225482169,OR,71287,ORS004,97321
1255398681,OR,71287,ORS004,97321
1255891347,OR,71287,ORS004,97321
1265638035,OR,71287,ORS004,97321
1275008021,OR,71287,ORS004,97321
1275116733,OR,71287,ORS004,97321
1285039453,OR,71287,ORS004,97321
1285073338,OR,71287,ORS004,97321
1285658625,OR,71287,ORS004,97321
1295386506,OR,71287,ORS004,97321
1295705937,OR,71287,ORS004,97321
1295754760,OR,71287,ORS004,97321
1306494638,OR,71287,ORS004,97321
1306872510,OR,71287,ORS004,97321
1316377724,OR,71287,ORS004,97321
1326435504,OR,71287,ORS004,97321
1336175553,OR,71287,ORS004,97321
1346327681,OR,71287,ORS004,97321
1376217042,OR,71287,ORS004,97321
1396787644,OR,71287,ORS004,97321
1407160260,OR,71287,ORS004,97321
1417410747,OR,71287,ORS004,97321
1437578853,OR,71287,ORS004,97321
1457647091,OR,71287,ORS004,97321
1477013142,OR,71287,ORS004,97321
1477812915,OR,71287,ORS004,97321
1487686440,OR,71287,ORS004,97321
1508187733,OR,71287,ORS004,97321
1518296847,OR,71287,ORS004,97321
1518352350,OR,71287,ORS004,97321
1538235726,OR,71287,ORS004,97321
1558343574,OR,71287,ORS004,97321
1578138244,OR,71287,ORS004,97321
1578940441,OR,71287,ORS004,97321
1598051666,OR,71287,ORS004,97321
1639154974,OR,71287,ORS004,97321
1659545176,OR,71287,ORS004,97321
1669518049,OR,71287,ORS004,97321
1679032502,OR,71287,ORS004,97321
1689459497,OR,71287,ORS004,97321
1689882730,OR,71287,ORS004,97321
1720027220,OR,71287,ORS004,97321
1720273667,OR,71287,ORS004,97321
1730115551,OR,71287,ORS004,97321
1740783596,OR,71287,ORS004,97321
1750679817,OR,71287,ORS004,97321
1750817714,OR,71287,ORS004,97321
1770043200,OR,71287,ORS004,97321
1780390872,OR,71287,ORS004,97321
1790091403,OR,71287,ORS004,97321
1831148592,OR,71287,ORS004,97321
1841258647,OR,71287,ORS004,97321
1841269750,OR,71287,ORS004,97321
1841649969,OR,71287,ORS004,97321
1861811770,OR,71287,ORS004,97321
1871512368,OR,71287,ORS004,97321
1871932699,OR,71287,ORS004,97321
1881075513,OR,71287,ORS004,97321
1881451771,OR,71287,ORS004,97321
1902065204,OR,71287,ORS004,97321
1902316813,OR,71287,ORS004,97321
1902367527,OR,71287,ORS004,97321
1912500745,OR,71287,ORS004,97321
1932128832,OR,71287,ORS004,97321
1932389194,OR,71287,ORS004,97321
1952806291,OR,71287,ORS004,97321
1972360865,OR,71287,ORS004,97321
1982138798,OR,71287,ORS004,97321
1982146288,OR,71287,ORS004,97321
1982279527,OR,71287,ORS004,97321
1982954715,OR,71287,ORS004,97321
1992947030,OR,71287,ORS004,97321
1093377210,MI,29698,MIS007,49201
1104849025,MI,29698,MIS007,49201
1568031250,MI,29698,MIS007,49201
1588234058,MI,29698,MIS007,49201
1700531837,MI,29698,MIS007,49201
1881190593,MI,29698,MIS007,49201
1417284688,MI,29698,MIS007,49201
1013281120,OR,71287,ORS001,97321
1023500568,OR,71287,ORS001,97321
1023639291,OR,71287,ORS001,97321
1023856044,OR,71287,ORS001,97321
1033730817,OR,71287,ORS001,97321
1063151306,OR,71287,ORS001,97321
1063199479,OR,71287,ORS001,97321
1073552394,OR,71287,ORS001,97321
1093734584,OR,71287,ORS001,97321
1093762247,OR,71287,ORS001,97321
1134198005,OR,71287,ORS001,97321
1134234800,OR,71287,ORS001,97321
1134358435,OR,71287,ORS001,97321
1134568959,OR,71287,ORS001,97321
1144302639,OR,71287,ORS001,97321
1144312943,OR,71287,ORS001,97321
1154488021,OR,71287,ORS001,97321
1164424586,OR,71287,ORS001,97321
1194044701,OR,71287,ORS001,97321
1215147475,OR,71287,ORS001,97321
1225482169,OR,71287,ORS001,97321
1255398681,OR,71287,ORS001,97321
1255891347,OR,71287,ORS001,97321
1265638035,OR,71287,ORS001,97321
1275008021,OR,71287,ORS001,97321
1275116733,OR,71287,ORS001,97321
1285039453,OR,71287,ORS001,97321
1285073338,OR,71287,ORS001,97321
1285658625,OR,71287,ORS001,97321
1295386506,OR,71287,ORS001,97321
1295705937,OR,71287,ORS001,97321
1295754760,OR,71287,ORS001,97321
1306494638,OR,71287,ORS001,97321
1306872510,OR,71287,ORS001,97321
1316377724,OR,71287,ORS001,97321
1326435504,OR,71287,ORS001,97321
1336175553,OR,71287,ORS001,97321
1346327681,OR,71287,ORS001,97321
1376217042,OR,71287,ORS001,97321
1396787644,OR,71287,ORS001,97321
1407160260,OR,71287,ORS001,97321
1417410747,OR,71287,ORS001,97321
1437578853,OR,71287,ORS001,97321
1457647091,OR,71287,ORS001,97321
1477013142,OR,71287,ORS001,97321
1477812915,OR,71287,ORS001,97321
1487686440,OR,71287,ORS001,97321
1508187733,OR,71287,ORS001,97321
1518296847,OR,71287,ORS001,97321
1518352350,OR,71287,ORS001,97321
1538235726,OR,71287,ORS001,97321
1558343574,OR,71287,ORS001,97321
1578138244,OR,71287,ORS001,97321
1578940441,OR,71287,ORS001,97321
1598051666,OR,71287,ORS001,97321
1639154974,OR,71287,ORS001,97321
1659545176,OR,71287,ORS001,97321
1669518049,OR,71287,ORS001,97321
1679032502,OR,71287,ORS001,97321
1689459497,OR,71287,ORS001,97321
1689882730,OR,71287,ORS001,97321
1720027220,OR,71287,ORS001,97321
1720273667,OR,71287,ORS001,97321
1730115551,OR,71287,ORS001,97321
1740783596,OR,71287,ORS001,97321
1750679817,OR,71287,ORS001,97321
1750817714,OR,71287,ORS001,97321
1770043200,OR,71287,ORS001,97321
1780390872,OR,71287,ORS001,97321
1790091403,OR,71287,ORS001,97321
1831148592,OR,71287,ORS001,97321
1841258647,OR,71287,ORS001,97321
1841269750,OR,71287,ORS001,97321
1841649969,OR,71287,ORS001,97321
1861811770,OR,71287,ORS001,97321
1871512368,OR,71287,ORS001,97321
1871932699,OR,71287,ORS001,97321
1881075513,OR,71287,ORS001,97321
1881451771,OR,71287,ORS001,97321
1902065204,OR,71287,ORS001,97321
1902316813,OR,71287,ORS001,97321
1902367527,OR,71287,ORS001,97321
1912500745,OR,71287,ORS001,97321
1932128832,OR,71287,ORS001,97321
1932389194,OR,71287,ORS001,97321
1952806291,OR,71287,ORS001,97321
1972360865,OR,71287,ORS001,97321
1982138798,OR,71287,ORS001,97321
1982146288,OR,71287,ORS001,97321
1982279527,OR,71287,ORS001,97321
1982954715,OR,71287,ORS001,97321
1992947030,OR,71287,ORS001,97321
1518923986,OR,71287,ORS004,97477
1003369133,OR,71287,ORS004,97477
1013203348,OR,71287,ORS004,97477
1043399967,OR,71287,ORS004,97477
1073600938,OR,71287,ORS004,97477
1093367005,OR,71287,ORS004,97477
1093450363,OR,71287,ORS004,97477
1093722217,OR,71287,ORS004,97477
1124290648,OR,71287,ORS004,97477
1124481338,OR,71287,ORS004,97477
1124541156,OR,71287,ORS004,97477
1134145972,OR,71287,ORS004,97477
1134467368,OR,71287,ORS004,97477
1154327997,OR,71287,ORS004,97477
1154360071,OR,71287,ORS004,97477
1154856706,OR,71287,ORS004,97477
1164159091,OR,71287,ORS004,97477
1174819502,OR,71287,ORS004,97477
1174979462,OR,71287,ORS004,97477
1194368134,OR,71287,ORS004,97477
1205368909,OR,71287,ORS004,97477
1215258595,OR,71287,ORS004,97477
1225309685,OR,71287,ORS004,97477
1225598899,OR,71287,ORS004,97477
1235274234,OR,71287,ORS004,97477
1235357104,OR,71287,ORS004,97477
1245308832,OR,71287,ORS004,97477
1255837688,OR,71287,ORS004,97477
1265425938,OR,71287,ORS004,97477
1275508574,OR,71287,ORS004,97477
1275875130,OR,71287,ORS004,97477
1295187367,OR,71287,ORS004,97477
1295798908,OR,71287,ORS004,97477
1316986821,OR,71287,ORS004,97477
1326435504,OR,71287,ORS004,97477
1346229549,OR,71287,ORS004,97477
1346652310,OR,71287,ORS004,97477
1356729826,OR,71287,ORS004,97477
1366055113,OR,71287,ORS004,97477
1366140634,OR,71287,ORS004,97477
1386101913,OR,71287,ORS004,97477
1386694081,OR,71287,ORS004,97477
1417177304,OR,71287,ORS004,97477
1447440433,OR,71287,ORS004,97477
1447462783,OR,71287,ORS004,97477
1447783758,OR,71287,ORS004,97477
1457644098,OR,71287,ORS004,97477
1467657056,OR,71287,ORS004,97477
1467694745,OR,71287,ORS004,97477
1467758581,OR,71287,ORS004,97477
1467813212,OR,71287,ORS004,97477
1477583722,OR,71287,ORS004,97477
1497796403,OR,71287,ORS004,97477
1497998660,OR,71287,ORS004,97477
1508098286,OR,71287,ORS004,97477
1508416140,OR,71287,ORS004,97477
1518198274,OR,71287,ORS004,97477
1528200516,OR,71287,ORS004,97477
1538483292,OR,71287,ORS004,97477
1548410616,OR,71287,ORS004,97477
1548935117,OR,71287,ORS004,97477
1558596312,OR,71287,ORS004,97477
1568036481,OR,71287,ORS004,97477
1568564912,OR,71287,ORS004,97477
1578183356,OR,71287,ORS004,97477
1578714861,OR,71287,ORS004,97477
1598151730,OR,71287,ORS004,97477
1598744658,OR,71287,ORS004,97477
1609960228,OR,71287,ORS004,97477
1639379811,OR,71287,ORS004,97477
1639518368,OR,71287,ORS004,97477
1639776917,OR,71287,ORS004,97477
1649247420,OR,71287,ORS004,97477
1659132769,OR,71287,ORS004,97477
1679867071,OR,71287,ORS004,97477
1689694101,OR,71287,ORS004,97477
1699175638,OR,71287,ORS004,97477
1710165303,OR,71287,ORS004,97477
1720590987,OR,71287,ORS004,97477
1730582321,OR,71287,ORS004,97477
1740250588,OR,71287,ORS004,97477
1750330262,OR,71287,ORS004,97477
1750889333,OR,71287,ORS004,97477
1770564015,OR,71287,ORS004,97477
1770735292,OR,71287,ORS004,97477
1770781809,OR,71287,ORS004,97477
1801317631,OR,71287,ORS004,97477
