COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
01001,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,476,1404.0
01001,AL,INTERNAL MEDICINE,25,6394,23575.0
01003,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),7,7925,70269.0
01003,AL,ENDOCRINOLOGY,2,331,1557.0
01003,AL,HEMATOLOGY/ONCOLOGY,4,1296,345727.0
01003,AL,INTERNAL MEDICINE,44,12695,252558.0
01003,AL,NEUROLOGY,4,1321,10008.0
01003,AL,PSYCHIATRY,12,389,2963.0
01003,AL,PULMONARY DISEASE,6,2521,7558.0
01005,AL,INTERNAL MEDICINE,3,640,2163.0
01005,AL,PSYCHIATRY,2,61,598.0
01007,AL,INTERNAL MEDICINE,1,202,285.0
01007,AL,PSYCHIATRY,2,0,0.0
01009,AL,INTERNAL MEDICINE,3,1362,9799.0
01011,AL,INTERNAL MEDICINE,1,116,3584.0
01013,AL,INTERNAL MEDICINE,2,304,11770.0
01015,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,6768,31615.0
01015,AL,ENDOCRINOLOGY,1,1101,10192.0
01015,AL,HEMATOLOGY/ONCOLOGY,1,592,166963.0
01015,AL,INTERNAL MEDICINE,17,4969,44591.0
01015,AL,NEUROLOGY,2,757,5928.0
01015,AL,PULMONARY DISEASE,3,1665,9073.0
01015,AL,RHEUMATOLOGY,1,833,173980.0
01017,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,596,2094.0
01017,AL,INTERNAL MEDICINE,8,1075,8337.0
01019,AL,INTERNAL MEDICINE,1,276,5800.0
01021,AL,INTERNAL MEDICINE,8,1216,16395.0
01021,AL,PULMONARY DISEASE,1,257,369.0
01023,AL,INTERNAL MEDICINE,2,112,228.0
01025,AL,INTERNAL MEDICINE,1,300,18787.0
01025,AL,PSYCHIATRY,1,64,230.0
01029,AL,INTERNAL MEDICINE,1,81,346.0
01031,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,1696,8136.0
01031,AL,INTERNAL MEDICINE,10,3804,53172.0
01031,AL,PSYCHIATRY,1,151,691.0
01033,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,3804,13853.0
01033,AL,INTERNAL MEDICINE,14,4436,76214.0
01033,AL,NEUROLOGY,1,0,0.0
01033,AL,PSYCHIATRY,4,150,1023.0
01033,AL,PULMONARY DISEASE,2,632,5711.0
01033,AL,RHEUMATOLOGY,5,3381,600153.5
01035,AL,INTERNAL MEDICINE,2,847,5824.0
01039,AL,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,4853,35070.0
01039,AL,HEMATOLOGY/ONCOLOGY,1,282,729.0
01039,AL,INTERNAL MEDICINE,6,1530,27458.0
01039,AL,NEUROLOGY,1,17,40.0
01041,AL,INTERNAL MEDICINE,4,1752,8296.0
01041,AL,PSYCHIATRY,1,86,1312.0
