COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
1015,Alabama,HEMATOLOGY/ONCOLOGY,6912,1,592,166963.0,6912.0,2055.6666666666665,2642.926682217817,3.362412842549052,CRITICAL GAP,18.31,01015|HEMATOLOGY/ONCOLOGY,0.1446759259259259,281.5564924114671,True,-1,-0.0024190419886757,shortage_anomaly
1015,Alabama,RHEUMATOLOGY,27329,1,833,173980.0,27329.0,10453.0,13315.598760659872,2.6144647469625943,CRITICAL GAP,14.24,01015|RHEUMATOLOGY,0.0365911668923122,208.60911270983212,True,-1,-0.0326719891959422,shortage_anomaly
1049,Alabama,CARDIOVASCULAR DISEASE (CARDIOLOGY),49712,1,772,22712.0,49712.0,10823.136363636364,15071.056217261126,4.59312331747225,CRITICAL GAP,25.01,01049|CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0201158673962021,29.38163001293661,True,-1,-0.0241963189103243,shortage_anomaly
1069,Alabama,RHEUMATOLOGY,24820,2,1469,352297.0,12410.0,10453.0,13315.598760659872,1.1872189801970725,HIGH GAP,6.46,01069|RHEUMATOLOGY,0.08058017727639,239.6578231292517,True,-1,-0.0026209796519057,shortage_anomaly
1081,Alabama,ENDOCRINOLOGY,75063,1,0,0.0,75063.0,18070.0,22988.768286620067,4.154012174875485,CRITICAL GAP,22.62,01081|ENDOCRINOLOGY,0.0133221427334372,0.0,True,-1,-0.0223221264133247,shortage_anomaly
1089,Alabama,RHEUMATOLOGY,85733,4,2262,202199.0,21433.25,10453.0,13315.598760659872,2.050440065053095,CRITICAL GAP,11.16,01089|RHEUMATOLOGY,0.0466564800018662,89.34997790543527,True,-1,-0.0020250973558133,shortage_anomaly
1117,Alabama,RHEUMATOLOGY,46435,5,1408,404354.0,9287.0,10453.0,13315.598760659872,0.8884530756720559,MODERATE GAP,4.84,01117|RHEUMATOLOGY,0.1076773985140518,286.9794180269695,True,-1,-0.0076421154181384,shortage_anomaly
1125,Alabama,RHEUMATOLOGY,49352,2,1131,326686.0,24676.0,10453.0,13315.598760659872,2.36066201090596,CRITICAL GAP,12.85,01125|RHEUMATOLOGY,0.040525206678554,288.59187279151945,True,-1,-0.0393022892691549,shortage_anomaly
2170,Alaska,HEMATOLOGY/ONCOLOGY,6287,1,421,112804.0,6287.0,2055.6666666666665,2642.926682217817,3.058375222960921,CRITICAL GAP,16.65,02170|HEMATOLOGY/ONCOLOGY,0.1590583744234134,267.3080568720379,True,-1,-0.0002981697650377,shortage_anomaly
4013,Arizona,RHEUMATOLOGY,800212,47,24094,5955338.0,17025.787234042553,10453.0,13315.598760659872,1.6287943398108249,HIGH GAP,8.87,04013|RHEUMATOLOGY,0.0587344353746257,247.1607387424777,True,-1,-0.0157770410313007,shortage_anomaly
