COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,DISEASE,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,COUNTY_NAME,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
48201,Texas,Endocrinology,Diabetes,1144584,7,972,4094.0,163512.0,18070.0,22988.768287,9.04881,CRITICAL GAP,49.27,48201|Endocrinology,Harris County,0.006115759088018,4.207605344295992,True,-1,-0.0174960861108914,shortage_anomaly
37067,North Carolina,Endocrinology,Diabetes,188628,1,67,259.7,188628.0,18070.0,22988.768287,10.438738,CRITICAL GAP,56.84,37067|Endocrinology,Forsyth County,0.0053014398710689,3.8191176470588233,True,-1,-0.0079228311582119,shortage_anomaly
48439,Texas,Endocrinology,Diabetes,162204,1,506,2224.5,162204.0,18070.0,22988.768287,8.976425,CRITICAL GAP,48.88,48439|Endocrinology,Tarrant County,0.0061650760770387,4.387573964497041,True,-1,-0.0305938437328744,shortage_anomaly
48085,Texas,Endocrinology,Diabetes,344814,2,616,2539.8,172407.0,18070.0,22988.768287,9.541063,CRITICAL GAP,51.95,48085|Endocrinology,Collin County,0.005800228529004,4.116369529983793,True,-1,-0.0154956960574325,shortage_anomaly
48439,Texas,Endocrinology,Diabetes,535433,3,2376,4934.7,178477.6667,18070.0,22988.768287,9.877015,CRITICAL GAP,53.78,48439|Endocrinology,Tarrant County,0.0056029419180364,2.076020193521245,True,-1,-0.0108562055838778,shortage_anomaly
37067,North Carolina,Endocrinology,Diabetes,171872,1,821,3394.0,171872.0,18070.0,22988.768287,9.511455,CRITICAL GAP,51.79,37067|Endocrinology,Forsyth County,0.0058182833736734,4.128953771289538,True,-1,-0.0148868371859643,shortage_anomaly
37067,North Carolina,Endocrinology,Diabetes,379518,2,556,1064.7,189759.0,18070.0,22988.768287,10.501328,CRITICAL GAP,57.18,37067|Endocrinology,Forsyth County,0.0052698422736207,1.9114901256732495,True,-1,-0.020658894776776,shortage_anomaly
37051,North Carolina,Endocrinology,Diabetes,595164,3,2323,9503.5,198388.0,18070.0,22988.768287,10.97886,CRITICAL GAP,59.78,37051|Endocrinology,Cumberland County,0.0050406274573058,4.089285714285714,True,-1,-0.01645570479053,shortage_anomaly
37051,North Carolina,Endocrinology,Diabetes,175371,1,160,631.9,175371.0,18070.0,22988.768287,9.705091,CRITICAL GAP,52.84,37051|Endocrinology,Cumberland County,0.0057021970565258,3.9248447204968944,True,-1,-0.0050364303367662,shortage_anomaly
48085,Texas,Endocrinology,Diabetes,183011,1,845,3390.5,183011.0,18070.0,22988.768287,10.127892,CRITICAL GAP,55.14,48085|Endocrinology,Collin County,0.0054641524279961,4.007683215130023,True,-1,-0.0091485914455532,shortage_anomaly
37183,North Carolina,Endocrinology,Diabetes,120450,1,183,281.0,120450.0,18070.0,22988.768287,6.665744,CRITICAL GAP,36.29,37183|Endocrinology,Wake County,0.008302200083022,1.5271739130434785,True,-1,-0.0284106111564,shortage_anomaly
37081,North Carolina,Endocrinology,Diabetes,151283,1,564,2278.9,151283.0,18070.0,22988.768287,8.372053,CRITICAL GAP,45.58,37081|Endocrinology,Guilford County,0.00661012803818,4.033451327433628,True,-1,-0.0002059855016032,shortage_anomaly
