NPI,PROVIDER_NAME,PRIMARY_SPECIALTY,DISEASE,SECONDARY_SPECIALTY,TELEHEALTH,FACILITY_NAME,CITY,STATE,ZIP,COUNTY_FIPS,COUNTY,TOT_BENES,TOT_SRVCS,BENE_AVG_RISK_SCRE,TOTAL_UTILIZATION_EXACT,AVG_UTILIZATION_PERCENTILE
1713302504,MUTHIAH K SABANAYAGAM,Psychiatry,Mental Health Disorders,,,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,CLINTON TWP,MI,485033446,26049,Genesee County,481,1536.0,2.2713,,
1448882078,SRIRAM  SUDARSHAN,Pulmonary,Respiratory Disease,,,THE BRADLEY CLINIC OF TEXAS PLLC,CARLETON,MI,485323423,26049,Genesee County,633,1910.5,2.4668,,
1409741850,TOSAN ANDREW FREGENE,Rheumatology,Arthritis,,,"SOUTHEAST TEXAS INTENSIVISTS, PLLC",ROCHESTER HILLS,MI,485073927,26049,Genesee County,512,1520.8,2.4135,10.9,
1467860253,VALERIE DIANE ESPINOSA,Psychiatry,Mental Health Disorders,,,MCCD FL PSYCHIATRY SERVICES PA,FRANKENMUTH,MI,490481623,26077,Kalamazoo County,677,1925.6,2.157,5.7,
1650884571,YONG  HE,Pulmonary,Respiratory Disease,Pulmonary,,COMMUNITY ACTION CORPORATION OF SOUTH TEXAS,MARLETTE,MI,490073943,26077,Kalamazoo County,547,1664.8,1.8628,,
1816457705,RAYMOND HENRY GRAF,Rheumatology,Arthritis,,,OLUSEGUN OSENI PA,HOLLAND,MI,490076113,26077,Kalamazoo County,769,2311.5,2.1636,,
1293657819,OLIVIA ANNE HURD-PIPALIA,Psychiatry,Mental Health Disorders,Neurology,,ADAM S BUTERA MD PA,MOUNT CLEMENS,MI,480665805,26099,Macomb County,353,1073.9,2.044,,
1499034327,MAYUR  PATEL,Pulmonary,Respiratory Disease,Rheumatology,,HEART AND BRAIN CENTER OF TEXAS INC,CARLETON,MI,480445225,26099,Macomb County,521,1628.4,2.5106,,
1266211261,DAVID BALIS PATTON,Rheumatology,Arthritis,Psychiatry,,WEST MICHIGAN COMMUNITY MENTAL HEALTH SYSTEM,SAINT CLAIR SHORES,MI,480937618,26099,Macomb County,603,2014.4,1.8111,,
1851048141,RICHARD  STOEBNER,Psychiatry,Mental Health Disorders,Oncology,,VIRGINIA MASON MEDICAL CENTER,CLINTON TOWNSHIP,MI,480754803,26125,Oakland County,400,1176.9,1.0924,,
1105368937,ROBERT  MARCOTTE,Pulmonary,Respiratory Disease,,,,SANDUSKY,MI,482373018,26125,Oakland County,578,1799.9,3.4309,,
1484791747,FEDERICO  MAESE,Rheumatology,Arthritis,Rheumatology,,PREMIER BEHAVIORAL SERVICES INC,CLINTON TOWNSHIP,MI,480831135,26125,Oakland County,528,1550.1,0.8154,,
1142849526,HANANE  CHICHANE,Psychiatry,Mental Health Disorders,Neurology,Y,,ROCHESTER HILLS,MI,481841799,26163,Wayne County,459,1351.8,2.2479,,
1824491845,EMILY R PINEDA,Pulmonary,Respiratory Disease,Rheumatology,,METHODIST PHYSICIAN PRACTICES PLLC,LINCOLN PARK,MI,481242841,26163,Wayne County,650,1982.4,1.8612,,
1744121939,GEOFFREY D BARNES,Rheumatology,Arthritis,,,"PANKAJ HUKKU, MD PC",CHARLOTTE,MI,481354001,26163,Wayne County,426,1098.2,2.711,,
1432361858,EMMANUEL  ACHU,Cardiology,Heart Disease,,,OMG 1PC,GOLDSBORO,NC,283044423,37051,Cumberland County,422,1222.2,1.8216,,
1230359469,WAYNE  BAUKNIGHT,Endocrinology,Diabetes,,,ELITE CARDIOVASCULAR GROUP PLLC,KNIGHTDALE,NC,283044457,37051,Cumberland County,523,1878.9,2.0485,,
1149726348,PHILLIPA L ZYLANOFF,Psychiatry,Mental Health Disorders,Pulmonary,,,BERMUDA RUN,NC,283044426,37051,Cumberland County,532,1438.5,1.9001,,
1141936200,SRUJANA KAMALA YADA,Rheumatology,Arthritis,Pulmonary,,MCLAREN PORT HURON,CEDAR POINT,NC,283043425,37051,Cumberland County,468,1400.2,1.1644,,
1528461894,ANDREW  GULDE,Cardiology,Heart Disease,,,,CEDAR POINT,NC,271031548,37067,Forsyth County,619,1797.2,2.817,2.0,
1741554137,FRANCISCO  FERNANDEZ,Endocrinology,Diabetes,Endocrinology,,,APEX,NC,271033019,37067,Forsyth County,507,1533.8,1.6342,0.4,
1491152701,VU L HOANG,Psychiatry,Mental Health Disorders,,Y,,CHAPEL HILL,NC,272843813,37067,Forsyth County,610,1666.1,2.9631,,
