NPI,SERVICE_AREA_STATE,ISSUERID,SERVICEAREAID,SERVICE_AREA_ZIP
1713302504,MI,29698,MIS003,49453
1467860253,MI,58594,MIS001,49443
1650884571,MI,58594,MIS001,49442
1293657819,MI,29698,MIS007,49254
1499034327,MI,58594,MIS001,48471
1266211261,MI,29698,MIS003,49335
1851048141,MI,58594,MIS001,48455
1105368937,MI,58594,MIS001,49444
1484791747,MI,58594,MIS001,49444
1142849526,MI,58594,MIS001,48466
1744121939,MI,58594,MIS001,49444
1417184648,TX,66252,TXS002,78666
1645740823,TX,66252,TXS002,78666
1410692787,TX,66252,TXS002,78666
1518072363,TX,66252,TXS002,78666
1821901690,TX,66252,TXS002,78666
1647438416,TX,66252,TXS002,78666
1391646988,TX,66252,TXS001,78666
1604880593,TX,66252,TXS001,78666
1873231339,TX,66252,TXS001,78666
1897294593,TX,66252,TXS002,78666
1368288319,TX,66252,TXS001,78666
1671262939,TX,66252,TXS002,78666
1802357289,TX,66252,TXS001,78666
1874912143,TX,66252,TXS001,78666
1952617179,TX,66252,TXS002,78666
